Image Name,No of Obj,Watershed Arcs Removal,Waterfall,Ward Linkage,Weighted Linkage,MorphACWE,Iterated Watershed
pic0203vn0092,1,0.2788,0.217,0.1219,0.169,0.2213,0.2792
pic0203vn0105,1,0.364,0.1358,0.3639,0.3636,0.4669,0.0
pic106470172014,1,0.2695,0.1945,0.0568,0.0559,0.083,0.0
pic1080629574,1,0.0,0.0758,0.2125,0.0498,0.2976,0.0398
pic109250805856,1,0.4354,0.3565,0.1926,0.3171,0.4775,0.5367
pic1092515922117,1,0.1179,0.0554,0.1879,0.1307,0.2692,0.2565
pict2272,1,0.9588,0.6437,0.2372,0.1953,0.3504,0.5642
pict2605,1,0.3646,0.4799,0.2164,0.1966,0.3348,0.4713
picture_458,1,0.6692,0.5451,0.2173,0.1461,0.3362,0.3566
postjp,1,0.2286,0.054,0.0966,0.0896,0.1696,0.2887
redberry_rb03,1,0.2519,0.2928,0.1948,0.191,0.2602,0.349
san_andres_130,1,0.1819,0.1019,0.3371,0.3391,0.4391,0.0
sg_01_img_1943_tratada,1,0.3356,0.0873,0.2714,0.293,0.2621,0.0
sharp_image,1,0.0794,0.0879,0.0082,0.0921,0.0303,0.0609
skookumchuk_starfish1,1,0.201,0.085,0.0762,0.0949,0.1378,0.0
snow2_004,1,0.2089,0.1982,0.1821,0.1798,0.269,0.536
tendrils,1,0.0313,0.063,0.1004,0.0201,0.2412,0.0268
windowcn_0078,1,0.2407,0.0573,0.1027,0.124,0.1462,0.4226
yokohm060409_dyjsn191,1,0.3802,0.3022,0.1891,0.1768,0.26,0.0
00000155,2,0.3463,0.1831,0.1804,0.2262,0.286,0.2606
000_4009,2,0.197,0.1233,0.1212,0.1215,0.1309,0.0729
100_1219,2,0.3089,0.3889,0.4815,0.1645,0.7055,0.8274
109300481333,2,0.6161,0.4294,0.1852,0.1867,0.2842,0.4367
110932821430,2,0.0653,0.0858,0.0669,0.0649,0.1107,0.1208
111876273311,2,0.5487,0.3117,0.5131,0.6536,0.6786,0.3764
112224059330,2,0.5815,0.3387,0.3257,0.1247,0.5351,0.8607
11257554021,2,0.2196,0.0532,0.1183,0.0335,0.1082,0.2082
2_horses_cropped,2,0.3257,0.203,0.2589,0.1494,0.2269,0.1826
77200701,2,0.5838,0.2436,0.8158,0.8001,0.8666,0.8532
alanmort_p1010058,2,0.5042,0.4356,0.2628,0.4422,0.4827,0.328
atlasredstone,2,0.9468,0.4398,0.6722,0.429,0.6681,0.455
b10mechanics037,2,0.8306,0.46,0.4196,0.4261,0.5426,0.4219
b10nature_trees000,2,0.5846,0.3217,0.5459,0.5594,0.6609,0.3162
b13vehicles_land000,2,0.0702,0.242,0.2139,0.2384,0.382,0.4078
b17leon000,2,0.1218,0.0927,0.1845,0.5958,0.2882,0.6864
b17maartent719,2,0.232,0.099,0.1079,0.3121,0.0985,0.7676
b17maartent850,2,0.4188,0.3352,0.0757,0.0955,0.1123,0.2408
b17paul1444,2,0.7744,0.4422,0.4022,0.2906,0.5211,0.5361
b19nature_trees071,2,0.5349,0.3618,0.3869,0.2716,0.4848,0.4714
b20vehicles_water065,2,0.3171,0.2472,0.0785,0.0182,0.1083,0.6056
b7nature_animals_sea000,2,0.3993,0.3309,0.1196,0.015,0.219,0.1894
b8vehicles_water015,2,0.3348,0.153,0.303,0.0634,0.3094,0.3236
b9vehicles_air015,2,0.6048,0.3209,0.7245,0.6431,0.6705,0.3044
b9vehicles_air016,2,0.5756,0.1805,0.7746,0.7456,0.5607,0.491
b9vehicles_air018_cropped,2,0.7561,0.2167,0.2072,0.1495,0.2624,0.24
babyandmom,2,0.4997,0.2755,0.2477,0.0183,0.4766,0.3421
birdhouse_003,2,0.0,0.0,0.0682,0.0487,0.099,0.0
bi_planes,2,0.0,0.1431,0.4289,0.4667,0.542,0.2854
black_and_white,2,0.445,0.1846,0.2961,0.2515,0.3572,0.2344
black_an_white,2,0.4031,0.1688,0.065,0.1008,0.1208,0.2889
boatscn2174,2,0.5188,0.4169,0.5438,0.5225,0.7035,0.583
by_the_north_sea15,2,0.4978,0.4371,0.2287,0.2055,0.5431,0.6116
chaom69,2,0.0772,0.3063,0.377,0.114,0.7078,0.4717
cocotort,2,0.2406,0.0873,0.222,0.267,0.2669,0.2385
crw_5052,2,0.1887,0.1407,0.1014,0.1618,0.1734,0.1507
decorwall,2,0.6116,0.3681,0.2336,0.3277,0.4605,0.55
dsc00103_h,2,0.2273,0.3768,0.0865,0.5852,0.1688,0.8262
dscf1479_c,2,0.7973,0.3034,0.9859,0.9736,0.9813,0.6635
dscf3208a,2,0.5779,0.4911,0.4612,0.6933,0.6079,0.3429
dscn0969,2,0.3878,0.2506,0.0784,0.1553,0.2461,0.3803
dscn1205_cropped,2,0.7541,0.4608,0.7711,0.2015,0.9342,0.9435
dscn5449,2,0.2446,0.2351,0.2556,0.2454,0.3242,0.1694
dsc_18501299,2,0.6641,0.3197,0.8683,0.8789,0.8503,0.5942
dsc_7742,2,0.381,0.2673,0.2043,0.1958,0.3866,0.1175
dualwindows,2,0.468,0.3522,0.205,0.0128,0.183,0.3534
eagle052607__20_,2,0.6825,0.4334,0.8158,0.1089,0.7706,0.4133
elke_p9270005,2,0.4325,0.2794,0.2009,0.2743,0.3403,0.0833
fair_gforce_003,2,0.33,0.2397,0.4415,0.521,0.5621,0.4291
fishing_on_water,2,0.1372,0.351,0.0779,0.0987,0.1352,0.535
footprints10morguejpg,2,0.453,0.2344,0.2984,0.3584,0.3747,0.267
frankfurt_img_2243,2,0.2233,0.1286,0.0932,0.0915,0.1714,0.0987
frosty_thyme,2,0.4044,0.1756,0.0543,0.0768,0.0826,0.0
hotblack_20070901_cows,2,0.6105,0.5148,0.2775,0.1931,0.1632,0.6167
hpim0242_cropped,2,0.2646,0.1867,0.0481,0.0787,0.0924,0.4698
hpim1928,2,0.0844,0.2628,0.3245,0.1423,0.3865,0.3004
imgp1883,2,0.3311,0.2628,0.0482,0.0861,0.0915,0.2862
img_0121,2,0.4235,0.2694,0.123,0.125,0.1863,0.1058
img_1159_i,2,0.1924,0.1979,0.0675,0.0777,0.1263,0.2702
img_3733_modif,2,0.0986,0.1023,0.1749,0.2542,0.2422,0.2794
img_7103r,2,0.8947,0.6052,0.3623,0.2441,0.4117,0.7857
img_7121sepiar,2,0.764,0.401,0.2068,0.1676,0.5076,0.7108
istambulminaret,2,0.1949,0.0872,0.1336,0.0648,0.2098,0.1764
jarndt_100_0021,2,0.6219,0.5277,0.3563,0.3619,0.5713,0.5265
kata_beach_phuket,2,0.4089,0.2371,0.3744,0.3744,0.075,0.5384
kumarnm_100_1263,2,0.1407,0.081,0.1285,0.1557,0.0899,0.1222
mf_3379,2,0.1398,0.135,0.2994,0.2854,0.4025,0.1665
mont_st_michel,2,0.64,0.3831,0.4421,0.4708,0.5694,0.2067
moon_and_a_tree,2,0.0645,0.0267,0.2437,0.2098,0.2156,0.2434
ninetyeight,2,0.8743,0.5309,0.6877,0.6969,0.8413,0.7413
nopeeking,2,0.3561,0.1788,0.0635,0.0417,0.0918,0.3424
p5014757_cropped,2,0.6995,0.5289,0.5034,0.5034,0.7772,0.7486
p5067537,2,0.2898,0.2216,0.217,0.3485,0.0796,0.5489
pb134930,2,0.3224,0.2911,0.2252,0.1315,0.2424,0.6234
pc250176,2,0.4254,0.311,0.1611,0.1508,0.0723,0.6133
pc302982,2,0.9116,0.5622,0.8483,0.7927,0.9485,0.9473
per__02_cropped,2,0.4391,0.4171,0.1357,0.3198,0.2846,0.3273
photo-026,2,0.3959,0.4157,0.8845,0.8727,0.9296,0.3839
photo_sanary_19-03-05_083,2,0.7426,0.299,0.4771,0.0832,0.099,0.2456
pic1077114394,2,0.2383,0.2526,0.4289,0.3648,0.4061,0.0433
pic108459418417,2,0.0,0.3272,0.7364,0.0,0.868,0.5374
pic108891392790,2,0.5938,0.3277,0.3614,0.188,0.4111,0.3968
pic1091719254143,2,0.6265,0.412,0.1213,0.0498,0.1309,0.3135
pic1092554512177,2,0.3943,0.3424,0.3135,0.0931,0.4952,0.281
reverendb_563667_59178524,2,0.704,0.266,0.6486,0.6486,0.7169,0.6415
rollingroscoe__9231871,2,0.6438,0.1682,0.5687,0.5827,0.6922,0.422
roman-pot-31-01-07-02842,2,0.3202,0.3276,0.1837,0.2673,0.214,0.3628
sakurag060521_dysn34,2,0.8714,0.2153,0.5534,0.123,0.7107,0.6741
sh-med-bandages-082404-01,2,0.9719,0.356,0.7394,0.7763,0.8273,0.6079
sunday_6-24_003,2,0.7947,0.5074,0.6604,0.5416,0.7509,0.828
swan_and_friend,2,0.4517,0.2323,0.2757,0.3734,0.3851,0.2722
thailand-bangkok-building_02,2,0.5767,0.5561,0.5281,0.4999,0.6776,0.3562
toplessmonument,2,0.3903,0.3164,0.2276,0.2262,0.3037,0.3378
whitby-pier,2,0.2988,0.1644,0.0741,0.1823,0.3029,0.0841
yack1,2,0.1475,0.2891,0.5442,0.105,0.6945,0.5043
yokohm060409_dyjsn266,2,0.7725,0.4931,0.9099,0.0,0.2114,0.925
_3076180_cropped,2,0.9347,0.3698,0.3295,0.4383,0.5018,0.5477
_3076180_cropped2,2,0.7976,0.07,0.2014,0.2195,0.2116,0.2217
_5161812,2,0.618,0.0,0.638,0.6231,0.6915,0.548
_mg_5707,2,0.0,0.0,0.5818,0.5891,0.6656,0.4673
