Image Name,No of Obj,Watershed Arcs Removal,Waterfall,Ward Linkage,Weighted Linkage,MorphACWE,Iterated Watershed
palovigna,1,0.1308,0.2043,0.1139,0.1777,0.2334,-0.0294
pic0203vn0092,1,0.1889,0.3409,0.4167,0.1051,0.4502,0.5073
pic0203vn0105,1,0.5582,0.5401,0.2753,0.2651,0.2738,0.0138
pic106470172014,1,0.2355,0.0538,0.0297,-0.0055,0.0402,-0.0034
pic1080629574,1,0.8395,0.7516,0.5174,0.3276,0.5404,0.0276
pic109250805856,1,0.3815,0.1152,0.738,0.8263,0.7677,0.906
pic1092515922117,1,0.1303,0.1369,0.2902,0.615,0.3166,0.6994
pict2272,1,0.9663,0.9454,0.0592,0.1278,0.1248,0.142
pict2605,1,0.7455,0.2485,0.4163,0.5396,0.5888,0.3328
picture_458,1,0.8708,0.8838,0.7582,0.6558,0.4041,0.3987
postjp,1,0.1171,0.4029,0.3468,0.0109,0.3037,0.0122
redberry_rb03,1,0.929,0.2282,0.7174,0.8007,0.7907,0.8346
san_andres_130,1,0.1134,0.4973,0.1837,-0.0081,0.1653,-0.0213
sg_01_img_1943_tratada,1,0.2945,0.2185,0.1057,0.1088,0.1487,-0.0611
sharp_image,1,0.4764,0.0198,0.2402,0.4477,0.4322,0.3048
skookumchuk_starfish1,1,0.0398,0.0307,0.1313,0.0074,0.1567,-0.0004
snow2_004,1,0.0994,0.276,0.4716,0.4622,0.5542,0.7966
tendrils,1,-0.0703,0.1007,0.1107,0.1152,0.1643,-0.08
windowcn_0078,1,0.1563,0.23,0.0289,0.0717,0.1805,0.7681
yokohm060409_dyjsn191,1,0.6774,0.1118,0.1371,0.1416,0.1401,0.0141
00000155,2,0.1461,0.7746,-0.0113,-0.0021,-0.0037,-0.0051
000_4009,2,0.0703,0.0054,-0.016,-0.0156,0.0158,0.1508
100_1219,2,0.9012,0.9486,0.8773,0.0704,0.9229,0.9387
109300481333,2,0.4458,0.1282,0.1123,0.1997,0.1808,0.5296
110932821430,2,0.3392,0.6085,0.2394,0.0639,0.0884,0.0947
111876273311,2,0.7253,0.9234,0.8706,0.9104,0.9081,0.5592
112224059330,2,0.0993,0.8978,0.8223,0.4342,0.8993,0.9351
11257554021,2,0.0283,0.1909,0.488,0.0423,0.3253,0.4972
2_horses_cropped,2,0.0732,0.0364,0.117,0.1202,0.1449,0.2553
77200701,2,0.1198,0.8079,0.8844,0.874,0.8703,0.844
alanmort_p1010058,2,0.5166,0.7961,0.6391,0.826,0.7992,0.245
atlasredstone,2,0.9185,0.8947,0.2784,0.05,0.1839,0.1328
b10mechanics037,2,0.8084,0.9361,0.0323,0.1003,0.3117,0.2315
b10nature_trees000,2,0.3015,0.5496,0.8013,0.5507,0.8399,0.2472
b13vehicles_land000,2,0.0971,0.0808,0.5534,0.5553,0.6094,0.362
b17leon000,2,0.0006,0.002,0.0357,0.5925,0.0099,0.502
b17maartent719,2,0.059,0.8627,0.0667,0.364,0.0259,0.8964
b17maartent850,2,0.0643,0.0079,-0.0745,0.1949,0.1786,0.2095
b17paul1444,2,0.248,0.125,0.2832,0.2431,0.3196,0.2987
b19nature_trees071,2,0.7653,0.1011,0.744,0.6697,0.7907,0.2998
b20vehicles_water065,2,0.0662,0.4732,0.0388,-0.0296,0.0535,0.824
b7nature_animals_sea000,2,0.1214,0.0753,0.4971,0.2572,0.6197,0.2983
b8vehicles_water015,2,0.0379,0.119,0.0214,0.2958,0.0217,0.2918
